in:X Size,in:Y Size,in:U Divisions,in:V Divisions,out:displacement,out:Mass,img,threeD
7,6,5,3,0.262906,3224.095953,XSize7_YSize6_UDivisions5_VDivisions3_Perspective.png,XSize7_YSize6_UDivisions5_VDivisions3.json
8,6,5,3,0.331614,3376.000766,XSize8_YSize6_UDivisions5_VDivisions3_Perspective.png,XSize8_YSize6_UDivisions5_VDivisions3.json
9,6,5,3,0.417944,3532.520569,XSize9_YSize6_UDivisions5_VDivisions3_Perspective.png,XSize9_YSize6_UDivisions5_VDivisions3.json
10,6,5,3,0.524776,3693.243771,XSize10_YSize6_UDivisions5_VDivisions3_Perspective.png,XSize10_YSize6_UDivisions5_VDivisions3.json
11,6,5,3,0.653477,3857.77806,XSize11_YSize6_UDivisions5_VDivisions3_Perspective.png,XSize11_YSize6_UDivisions5_VDivisions3.json
12,6,5,3,0.806112,4025.756098,XSize12_YSize6_UDivisions5_VDivisions3_Perspective.png,XSize12_YSize6_UDivisions5_VDivisions3.json
6,7,5,3,0.254347,3343.337589,XSize6_YSize7_UDivisions5_VDivisions3_Perspective.png,XSize6_YSize7_UDivisions5_VDivisions3.json
7,7,5,3,0.308759,3487.434428,XSize7_YSize7_UDivisions5_VDivisions3_Perspective.png,XSize7_YSize7_UDivisions5_VDivisions3.json
8,7,5,3,0.378385,3636.38417,XSize8_YSize7_UDivisions5_VDivisions3_Perspective.png,XSize8_YSize7_UDivisions5_VDivisions3.json
9,7,5,3,0.465612,3789.828368,XSize9_YSize7_UDivisions5_VDivisions3_Perspective.png,XSize9_YSize7_UDivisions5_VDivisions3.json
10,7,5,3,0.57271,3947.411169,XSize10_YSize7_UDivisions5_VDivisions3_Perspective.png,XSize10_YSize7_UDivisions5_VDivisions3.json
11,7,5,3,0.702057,4108.787203,XSize11_YSize7_UDivisions5_VDivisions3_Perspective.png,XSize11_YSize7_UDivisions5_VDivisions3.json
12,7,5,3,0.856458,4273.627271,XSize12_YSize7_UDivisions5_VDivisions3_Perspective.png,XSize12_YSize7_UDivisions5_VDivisions3.json
6,8,5,3,0.311718,3617.807428,XSize6_YSize8_UDivisions5_VDivisions3_Perspective.png,XSize6_YSize8_UDivisions5_VDivisions3.json
7,8,5,3,0.367374,3759.309466,XSize7_YSize8_UDivisions5_VDivisions3_Perspective.png,XSize7_YSize8_UDivisions5_VDivisions3.json
8,8,5,3,0.438072,3905.464103,XSize8_YSize8_UDivisions5_VDivisions3_Perspective.png,XSize8_YSize8_UDivisions5_VDivisions3.json
9,8,5,3,0.526298,4055.969064,XSize9_YSize8_UDivisions5_VDivisions3_Perspective.png,XSize9_YSize8_UDivisions5_VDivisions3.json
10,8,5,3,0.634386,4210.519394,XSize10_YSize8_UDivisions5_VDivisions3_Perspective.png,XSize10_YSize8_UDivisions5_VDivisions3.json
11,8,5,3,0.76459,4368.81424,XSize11_YSize8_UDivisions5_VDivisions3_Perspective.png,XSize11_YSize8_UDivisions5_VDivisions3.json
12,8,5,3,0.919113,4530.562129,XSize12_YSize8_UDivisions5_VDivisions3_Perspective.png,XSize12_YSize8_UDivisions5_VDivisions3.json
6,9,5,3,0.383266,3899.030642,XSize6_YSize9_UDivisions5_VDivisions3_Perspective.png,XSize6_YSize9_UDivisions5_VDivisions3.json
7,9,5,3,0.440427,4038.14353,XSize7_YSize9_UDivisions5_VDivisions3_Perspective.png,XSize7_YSize9_UDivisions5_VDivisions3.json
8,9,5,3,0.512388,4181.702077,XSize8_YSize9_UDivisions5_VDivisions3_Perspective.png,XSize8_YSize9_UDivisions5_VDivisions3.json
9,9,5,3,0.601751,4329.452124,XSize9_YSize9_UDivisions5_VDivisions3_Perspective.png,XSize9_YSize9_UDivisions5_VDivisions3.json
10,9,5,3,0.710926,4481.133631,XSize10_YSize9_UDivisions5_VDivisions3_Perspective.png,XSize10_YSize9_UDivisions5_VDivisions3.json
11,9,5,3,0.842219,4636.486313,XSize11_YSize9_UDivisions5_VDivisions3_Perspective.png,XSize11_YSize9_UDivisions5_VDivisions3.json
12,9,5,3,0.997868,4795.254288,XSize12_YSize9_UDivisions5_VDivisions3_Perspective.png,XSize12_YSize9_UDivisions5_VDivisions3.json
6,10,5,3,0.470613,4185.726559,XSize6_YSize10_UDivisions5_VDivisions3_Perspective.png,XSize6_YSize10_UDivisions5_VDivisions3.json
7,10,5,3,0.52958,4322.661588,XSize7_YSize10_UDivisions5_VDivisions3_Perspective.png,XSize7_YSize10_UDivisions5_VDivisions3.json
8,10,5,3,0.603024,4463.835834,XSize8_YSize10_UDivisions5_VDivisions3_Perspective.png,XSize8_YSize10_UDivisions5_VDivisions3.json
9,10,5,3,0.693692,4609.035611,XSize9_YSize10_UDivisions5_VDivisions3_Perspective.png,XSize9_YSize10_UDivisions5_VDivisions3.json
10,10,5,3,0.804082,4758.039605,XSize10_YSize10_UDivisions5_VDivisions3_Perspective.png,XSize10_YSize10_UDivisions5_VDivisions3.json
11,10,5,3,0.936555,4910.623477,XSize11_YSize10_UDivisions5_VDivisions3_Perspective.png,XSize11_YSize10_UDivisions5_VDivisions3.json
12,10,5,3,1.093393,5066.563815,XSize12_YSize10_UDivisions5_VDivisions3_Perspective.png,XSize12_YSize10_UDivisions5_VDivisions3.json
6,11,5,3,0.575362,4476.881738,XSize6_YSize11_UDivisions5_VDivisions3_Perspective.png,XSize6_YSize11_UDivisions5_VDivisions3.json
7,11,5,3,0.636485,4611.842303,XSize7_YSize11_UDivisions5_VDivisions3_Perspective.png,XSize7_YSize11_UDivisions5_VDivisions3.json
8,11,5,3,0.711667,4750.841041,XSize8_YSize11_UDivisions5_VDivisions3_Perspective.png,XSize8_YSize11_UDivisions5_VDivisions3.json
9,11,5,3,0.803833,4893.697932,XSize9_YSize11_UDivisions5_VDivisions3_Perspective.png,XSize9_YSize11_UDivisions5_VDivisions3.json
10,11,5,3,0.915586,5040.224571,XSize10_YSize11_UDivisions5_VDivisions3_Perspective.png,XSize10_YSize11_UDivisions5_VDivisions3.json
11,11,5,3,1.049356,5190.227864,XSize11_YSize11_UDivisions5_VDivisions3_Perspective.png,XSize11_YSize11_UDivisions5_VDivisions3.json
12,11,5,3,1.20747,5343.51333,XSize12_YSize11_UDivisions5_VDivisions3_Perspective.png,XSize12_YSize11_UDivisions5_VDivisions3.json
6,12,5,3,0.699096,4771.695102,XSize6_YSize12_UDivisions5_VDivisions3_Perspective.png,XSize6_YSize12_UDivisions5_VDivisions3.json
7,12,5,3,0.762777,4904.869946,XSize7_YSize12_UDivisions5_VDivisions3_Perspective.png,XSize7_YSize12_UDivisions5_VDivisions3.json
8,12,5,3,0.839989,5041.890375,XSize8_YSize12_UDivisions5_VDivisions3_Perspective.png,XSize8_YSize12_UDivisions5_VDivisions3.json
9,12,5,3,0.933872,5182.604222,XSize9_YSize12_UDivisions5_VDivisions3_Perspective.png,XSize9_YSize12_UDivisions5_VDivisions3.json
10,12,5,3,1.04716,5326.850791,XSize10_YSize12_UDivisions5_VDivisions3_Perspective.png,XSize10_YSize12_UDivisions5_VDivisions3.json
11,12,5,3,1.182363,5474.463819,XSize11_YSize12_UDivisions5_VDivisions3_Perspective.png,XSize11_YSize12_UDivisions5_VDivisions3.json
12,12,5,3,1.341862,5625.274183,XSize12_YSize12_UDivisions5_VDivisions3_Perspective.png,XSize12_YSize12_UDivisions5_VDivisions3.json
6,6,6,3,0.211674,3513.085985,XSize6_YSize6_UDivisions6_VDivisions3_Perspective.png,XSize6_YSize6_UDivisions6_VDivisions3.json
7,6,6,3,0.269049,3655.677007,XSize7_YSize6_UDivisions6_VDivisions3_Perspective.png,XSize7_YSize6_UDivisions6_VDivisions3.json
8,6,6,3,0.341934,3802.873986,XSize8_YSize6_UDivisions6_VDivisions3_Perspective.png,XSize8_YSize6_UDivisions6_VDivisions3.json
9,6,6,3,0.432061,3954.38626,XSize9_YSize6_UDivisions6_VDivisions3_Perspective.png,XSize9_YSize6_UDivisions6_VDivisions3.json
10,6,6,3,0.541882,4109.919604,XSize10_YSize6_UDivisions6_VDivisions3_Perspective.png,XSize10_YSize6_UDivisions6_VDivisions3.json
11,6,6,3,0.673761,4269.18275,XSize11_YSize6_UDivisions6_VDivisions3_Perspective.png,XSize11_YSize6_UDivisions6_VDivisions3.json
12,6,6,3,0.830005,4431.892525,XSize12_YSize6_UDivisions6_VDivisions3_Perspective.png,XSize12_YSize6_UDivisions6_VDivisions3.json
6,7,6,3,0.254288,3832.13879,XSize6_YSize7_UDivisions6_VDivisions3_Perspective.png,XSize6_YSize7_UDivisions6_VDivisions3.json
7,7,6,3,0.311738,3972.236387,XSize7_YSize7_UDivisions6_VDivisions3_Perspective.png,XSize7_YSize7_UDivisions6_VDivisions3.json
8,7,6,3,0.385177,4116.718396,XSize8_YSize7_UDivisions6_VDivisions3_Perspective.png,XSize8_YSize7_UDivisions6_VDivisions3.json
9,7,6,3,0.477956,4265.34337,XSize9_YSize7_UDivisions6_VDivisions3_Perspective.png,XSize9_YSize7_UDivisions6_VDivisions3.json
10,7,6,3,0.590153,4417.863332,XSize10_YSize7_UDivisions6_VDivisions3_Perspective.png,XSize10_YSize7_UDivisions6_VDivisions3.json
11,7,6,3,0.724205,4574.029101,XSize11_YSize7_UDivisions6_VDivisions3_Perspective.png,XSize11_YSize7_UDivisions6_VDivisions3.json
12,7,6,3,0.882483,4733.594731,XSize12_YSize7_UDivisions6_VDivisions3_Perspective.png,XSize12_YSize7_UDivisions6_VDivisions3.json
6,8,6,3,0.308125,4161.005886,XSize6_YSize8_UDivisions6_VDivisions3_Perspective.png,XSize6_YSize8_UDivisions6_VDivisions3.json
7,8,6,3,0.367691,4298.792129,XSize7_YSize8_UDivisions6_VDivisions3_Perspective.png,XSize7_YSize8_UDivisions6_VDivisions3.json
8,8,6,3,0.441985,4440.737869,XSize8_YSize8_UDivisions6_VDivisions3_Perspective.png,XSize8_YSize8_UDivisions6_VDivisions3.json
9,8,6,3,0.533699,4586.643386,XSize9_YSize8_UDivisions6_VDivisions3_Perspective.png,XSize9_YSize8_UDivisions6_VDivisions3.json
10,8,6,3,0.648524,4736.300939,XSize10_YSize8_UDivisions6_VDivisions3_Perspective.png,XSize10_YSize8_UDivisions6_VDivisions3.json
11,8,6,3,0.785379,4889.498997,XSize11_YSize8_UDivisions6_VDivisions3_Perspective.png,XSize11_YSize8_UDivisions6_VDivisions3.json
12,8,6,3,0.946246,5046.025928,XSize12_YSize8_UDivisions6_VDivisions3_Perspective.png,XSize12_YSize8_UDivisions6_VDivisions3.json
6,9,6,3,0.374529,4497.734152,XSize6_YSize9_UDivisions6_VDivisions3_Perspective.png,XSize6_YSize9_UDivisions6_VDivisions3.json
7,9,6,3,0.43667,4633.410821,XSize7_YSize9_UDivisions6_VDivisions3_Perspective.png,XSize7_YSize9_UDivisions6_VDivisions3.json
8,9,6,3,0.513121,4773.026253,XSize8_YSize9_UDivisions6_VDivisions3_Perspective.png,XSize8_YSize9_UDivisions6_VDivisions3.json
9,9,6,3,0.606731,4916.415299,XSize9_YSize9_UDivisions6_VDivisions3_Perspective.png,XSize9_YSize9_UDivisions6_VDivisions3.json
10,9,6,3,0.720095,5063.40429,XSize10_YSize9_UDivisions6_VDivisions3_Perspective.png,XSize10_YSize9_UDivisions6_VDivisions3.json
11,9,6,3,0.857812,5213.81434,XSize11_YSize9_UDivisions6_VDivisions3_Perspective.png,XSize11_YSize9_UDivisions6_VDivisions3.json
12,9,6,3,1.021913,5367.46434,XSize12_YSize9_UDivisions6_VDivisions3_Perspective.png,XSize12_YSize9_UDivisions6_VDivisions3.json
6,10,6,3,0.454888,4840.787312,XSize6_YSize10_UDivisions6_VDivisions3_Perspective.png,XSize6_YSize10_UDivisions6_VDivisions3.json
7,10,6,3,0.520059,4974.555285,XSize7_YSize10_UDivisions6_VDivisions3_Perspective.png,XSize7_YSize10_UDivisions6_VDivisions3.json
8,10,6,3,0.599069,5112.050348,XSize8_YSize10_UDivisions6_VDivisions3_Perspective.png,XSize8_YSize10_UDivisions6_VDivisions3.json
9,10,6,3,0.694909,5253.135616,XSize9_YSize10_UDivisions6_VDivisions3_Perspective.png,XSize9_YSize10_UDivisions6_VDivisions3.json
10,10,6,3,0.81029,5397.665796,XSize10_YSize10_UDivisions6_VDivisions3_Perspective.png,XSize10_YSize10_UDivisions6_VDivisions3.json
11,10,6,3,0.947738,5545.489741,XSize11_YSize10_UDivisions6_VDivisions3_Perspective.png,XSize11_YSize10_UDivisions6_VDivisions3.json
12,10,6,3,1.110004,5696.452837,XSize12_YSize10_UDivisions6_VDivisions3_Perspective.png,XSize12_YSize10_UDivisions6_VDivisions3.json
6,11,6,3,0.553508,5188.962993,XSize6_YSize11_UDivisions6_VDivisions3_Perspective.png,XSize6_YSize11_UDivisions6_VDivisions3.json
7,11,6,3,0.61923,5321.011438,XSize7_YSize11_UDivisions6_VDivisions3_Perspective.png,XSize7_YSize11_UDivisions6_VDivisions3.json
8,11,6,3,0.701247,5456.587121,XSize8_YSize11_UDivisions6_VDivisions3_Perspective.png,XSize8_YSize11_UDivisions6_VDivisions3.json
9,11,6,3,0.799675,5595.576121,XSize9_YSize11_UDivisions6_VDivisions3_Perspective.png,XSize9_YSize11_UDivisions6_VDivisions3.json
10,11,6,3,0.91738,5737.856554,XSize10_YSize11_UDivisions6_VDivisions3_Perspective.png,XSize10_YSize11_UDivisions6_VDivisions3.json
11,11,6,3,1.056975,5883.300547,XSize11_YSize11_UDivisions6_VDivisions3_Perspective.png,XSize11_YSize11_UDivisions6_VDivisions3.json
12,11,6,3,1.220935,6031.776123,XSize12_YSize11_UDivisions6_VDivisions3_Perspective.png,XSize12_YSize11_UDivisions6_VDivisions3.json
6,12,6,3,0.6696,5541.319585,XSize6_YSize12_UDivisions6_VDivisions3_Perspective.png,XSize6_YSize12_UDivisions6_VDivisions3.json
7,12,6,3,0.736711,5671.821171,XSize7_YSize12_UDivisions6_VDivisions3_Perspective.png,XSize7_YSize12_UDivisions6_VDivisions3.json
8,12,6,3,0.821057,5805.663224,XSize8_YSize12_UDivisions6_VDivisions3_Perspective.png,XSize8_YSize12_UDivisions6_VDivisions3.json
9,12,6,3,0.922469,5942.750443,XSize9_YSize12_UDivisions6_VDivisions3_Perspective.png,XSize9_YSize12_UDivisions6_VDivisions3.json
10,12,6,3,1.042824,6082.980174,XSize10_YSize12_UDivisions6_VDivisions3_Perspective.png,XSize10_YSize12_UDivisions6_VDivisions3.json
11,12,6,3,1.184852,6226.24394,XSize11_YSize12_UDivisions6_VDivisions3_Perspective.png,XSize11_YSize12_UDivisions6_VDivisions3.json
12,12,6,3,1.351096,6372.428915,XSize12_YSize12_UDivisions6_VDivisions3_Perspective.png,XSize12_YSize12_UDivisions6_VDivisions3.json
6,6,2,4,0.324308,2168.580105,XSize6_YSize6_UDivisions2_VDivisions4_Perspective.png,XSize6_YSize6_UDivisions2_VDivisions4.json
7,6,2,4,0.402727,2388.545547,XSize7_YSize6_UDivisions2_VDivisions4_Perspective.png,XSize7_YSize6_UDivisions2_VDivisions4.json
8,6,2,4,0.500221,2613.733483,XSize8_YSize6_UDivisions2_VDivisions4_Perspective.png,XSize8_YSize6_UDivisions2_VDivisions4.json
9,6,2,4,0.622827,2842.878921,XSize9_YSize6_UDivisions2_VDivisions4_Perspective.png,XSize9_YSize6_UDivisions2_VDivisions4.json
10,6,2,4,0.774761,3075.067152,XSize10_YSize6_UDivisions2_VDivisions4_Perspective.png,XSize10_YSize6_UDivisions2_VDivisions4.json
11,6,2,4,0.95498,3309.629944,XSize11_YSize6_UDivisions2_VDivisions4_Perspective.png,XSize11_YSize6_UDivisions2_VDivisions4.json
12,6,2,4,1.16524,3546.072708,XSize12_YSize6_UDivisions2_VDivisions4_Perspective.png,XSize12_YSize6_UDivisions2_VDivisions4.json
6,7,2,4,0.40476,2269.896858,XSize6_YSize7_UDivisions2_VDivisions4_Perspective.png,XSize6_YSize7_UDivisions2_VDivisions4.json
7,7,2,4,0.487573,2487.422939,XSize7_YSize7_UDivisions2_VDivisions4_Perspective.png,XSize7_YSize7_UDivisions2_VDivisions4.json
8,7,2,4,0.591111,2710.477633,XSize8_YSize7_UDivisions2_VDivisions4_Perspective.png,XSize8_YSize7_UDivisions2_VDivisions4.json
9,7,2,4,0.717091,2937.767518,XSize9_YSize7_UDivisions2_VDivisions4_Perspective.png,XSize9_YSize7_UDivisions2_VDivisions4.json
10,7,2,4,0.870786,3168.341962,XSize10_YSize7_UDivisions2_VDivisions4_Perspective.png,XSize10_YSize7_UDivisions2_VDivisions4.json
11,7,2,4,1.058987,3401.497407,XSize11_YSize7_UDivisions2_VDivisions4_Perspective.png,XSize11_YSize7_UDivisions2_VDivisions4.json
12,7,2,4,1.27925,3636.707654,XSize12_YSize7_UDivisions2_VDivisions4_Perspective.png,XSize12_YSize7_UDivisions2_VDivisions4.json
6,8,2,4,0.50688,2374.544132,XSize6_YSize8_UDivisions2_VDivisions4_Perspective.png,XSize6_YSize8_UDivisions2_VDivisions4.json
7,8,2,4,0.593315,2589.457745,XSize7_YSize8_UDivisions2_VDivisions4_Perspective.png,XSize7_YSize8_UDivisions2_VDivisions4.json
8,8,2,4,0.701552,2810.19948,XSize8_YSize8_UDivisions2_VDivisions4_Perspective.png,XSize8_YSize8_UDivisions2_VDivisions4.json
9,8,2,4,0.833729,3035.457477,XSize9_YSize8_UDivisions2_VDivisions4_Perspective.png,XSize9_YSize8_UDivisions2_VDivisions4.json
10,8,2,4,0.991663,3264.25068,XSize10_YSize8_UDivisions2_VDivisions4_Perspective.png,XSize10_YSize8_UDivisions2_VDivisions4.json
11,8,2,4,1.179742,3495.842753,XSize11_YSize8_UDivisions2_VDivisions4_Perspective.png,XSize11_YSize8_UDivisions2_VDivisions4.json
12,8,2,4,1.40767,3729.676697,XSize12_YSize8_UDivisions2_VDivisions4_Perspective.png,XSize12_YSize8_UDivisions2_VDivisions4.json
6,9,2,4,0.634282,2482.250895,XSize6_YSize9_UDivisions2_VDivisions4_Perspective.png,XSize6_YSize9_UDivisions2_VDivisions4.json
7,9,2,4,0.723996,2694.433723,XSize7_YSize9_UDivisions2_VDivisions4_Perspective.png,XSize7_YSize9_UDivisions2_VDivisions4.json
8,9,2,4,0.836264,2912.726599,XSize8_YSize9_UDivisions2_VDivisions4_Perspective.png,XSize8_YSize9_UDivisions2_VDivisions4.json
9,9,2,4,0.973484,3135.810755,XSize9_YSize9_UDivisions2_VDivisions4_Perspective.png,XSize9_YSize9_UDivisions2_VDivisions4.json
10,9,2,4,1.137844,3362.682036,XSize10_YSize9_UDivisions2_VDivisions4_Perspective.png,XSize10_YSize9_UDivisions2_VDivisions4.json
11,9,2,4,1.331237,3592.575569,XSize11_YSize9_UDivisions2_VDivisions4_Perspective.png,XSize11_YSize9_UDivisions2_VDivisions4.json
12,9,2,4,1.556942,3824.905726,XSize12_YSize9_UDivisions2_VDivisions4_Perspective.png,XSize12_YSize9_UDivisions2_VDivisions4.json
6,10,2,4,0.790311,2592.751718,XSize6_YSize10_UDivisions2_VDivisions4_Perspective.png,XSize6_YSize10_UDivisions2_VDivisions4.json
7,10,2,4,0.883181,2802.134096,XSize7_YSize10_UDivisions2_VDivisions4_Perspective.png,XSize7_YSize10_UDivisions2_VDivisions4.json
8,10,2,4,0.99917,3017.882805,XSize8_YSize10_UDivisions2_VDivisions4_Perspective.png,XSize8_YSize10_UDivisions2_VDivisions4.json
9,10,2,4,1.140834,3238.684086,XSize9_YSize10_UDivisions2_VDivisions4_Perspective.png,XSize9_YSize10_UDivisions2_VDivisions4.json
10,10,2,4,1.310606,3463.519091,XSize10_YSize10_UDivisions2_VDivisions4_Perspective.png,XSize10_YSize10_UDivisions2_VDivisions4.json
11,10,2,4,1.510708,3691.599845,XSize11_YSize10_UDivisions2_VDivisions4_Perspective.png,XSize11_YSize10_UDivisions2_VDivisions4.json
12,10,2,4,1.743088,3922.315377,XSize12_YSize10_UDivisions2_VDivisions4_Perspective.png,XSize12_YSize10_UDivisions2_VDivisions4.json
6,11,2,4,0.978187,2705.792492,XSize6_YSize11_UDivisions2_VDivisions4_Perspective.png,XSize6_YSize11_UDivisions2_VDivisions4.json
7,11,2,4,1.0742,2912.346388,XSize7_YSize11_UDivisions2_VDivisions4_Perspective.png,XSize7_YSize11_UDivisions2_VDivisions4.json
8,11,2,4,1.193795,3125.491991,XSize8_YSize11_UDivisions2_VDivisions4_Perspective.png,XSize8_YSize11_UDivisions2_VDivisions4.json
9,11,2,4,1.339619,3343.93194,XSize9_YSize11_UDivisions2_VDivisions4_Perspective.png,XSize9_YSize11_UDivisions2_VDivisions4.json
10,11,2,4,1.514256,3566.641463,XSize10_YSize11_UDivisions2_VDivisions4_Perspective.png,XSize10_YSize11_UDivisions2_VDivisions4.json
11,11,2,4,1.720156,3792.815658,XSize11_YSize11_UDivisions2_VDivisions4_Perspective.png,XSize11_YSize11_UDivisions2_VDivisions4.json
12,11,2,4,1.959568,4021.822296,XSize12_YSize11_UDivisions2_VDivisions4_Perspective.png,XSize12_YSize11_UDivisions2_VDivisions4.json
6,12,2,4,1.201066,2821.134256,XSize6_YSize12_UDivisions2_VDivisions4_Perspective.png,XSize6_YSize12_UDivisions2_VDivisions4.json
7,12,2,4,1.300274,3024.866075,XSize7_YSize12_UDivisions2_VDivisions4_Perspective.png,XSize7_YSize12_UDivisions2_VDivisions4.json
8,12,2,4,1.423465,3235.38127,XSize8_YSize12_UDivisions2_VDivisions4_Perspective.png,XSize8_YSize12_UDivisions2_VDivisions4.json
9,12,2,4,1.57334,3451.409072,XSize9_YSize12_UDivisions2_VDivisions4_Perspective.png,XSize9_YSize12_UDivisions2_VDivisions4.json
10,12,2,4,1.752573,3671.927348,XSize10_YSize12_UDivisions2_VDivisions4_Perspective.png,XSize10_YSize12_UDivisions2_VDivisions4.json
11,12,2,4,1.963764,3896.120743,XSize11_YSize12_UDivisions2_VDivisions4_Perspective.png,XSize11_YSize12_UDivisions2_VDivisions4.json
12,12,2,4,2.209374,4123.340358,XSize12_YSize12_UDivisions2_VDivisions4_Perspective.png,XSize12_YSize12_UDivisions2_VDivisions4.json
6,6,3,4,0.215429,2644.504188,XSize6_YSize6_UDivisions3_VDivisions4_Perspective.png,XSize6_YSize6_UDivisions3_VDivisions4.json
7,6,3,4,0.26265,2857.306715,XSize7_YSize6_UDivisions3_VDivisions4_Perspective.png,XSize7_YSize6_UDivisions3_VDivisions4.json
8,6,3,4,0.322908,3077.004513,XSize8_YSize6_UDivisions3_VDivisions4_Perspective.png,XSize8_YSize6_UDivisions3_VDivisions4.json
9,6,3,4,0.397881,3302.350242,XSize9_YSize6_UDivisions3_VDivisions4_Perspective.png,XSize9_YSize6_UDivisions3_VDivisions4.json
10,6,3,4,0.493209,3532.32824,XSize10_YSize6_UDivisions3_VDivisions4_Perspective.png,XSize10_YSize6_UDivisions3_VDivisions4.json
11,6,3,4,0.608217,3766.119697,XSize11_YSize6_UDivisions3_VDivisions4_Perspective.png,XSize11_YSize6_UDivisions3_VDivisions4.json
12,6,3,4,0.74437,4003.067032,XSize12_YSize6_UDivisions3_VDivisions4_Perspective.png,XSize12_YSize6_UDivisions3_VDivisions4.json
6,7,3,4,0.27093,2796.858601,XSize6_YSize7_UDivisions3_VDivisions4_Perspective.png,XSize6_YSize7_UDivisions3_VDivisions4.json
7,7,3,4,0.319499,3006.625117,XSize7_YSize7_UDivisions3_VDivisions4_Perspective.png,XSize7_YSize7_UDivisions3_VDivisions4.json
8,7,3,4,0.381333,3223.432694,XSize8_YSize7_UDivisions3_VDivisions4_Perspective.png,XSize8_YSize7_UDivisions3_VDivisions4.json
9,7,3,4,0.458114,3446.07869,XSize9_YSize7_UDivisions3_VDivisions4_Perspective.png,XSize9_YSize7_UDivisions3_VDivisions4.json
10,7,3,4,0.551533,3673.564926,XSize10_YSize7_UDivisions3_VDivisions4_Perspective.png,XSize10_YSize7_UDivisions3_VDivisions4.json
11,7,3,4,0.664847,3905.073129,XSize11_YSize7_UDivisions3_VDivisions4_Perspective.png,XSize11_YSize7_UDivisions3_VDivisions4.json
12,7,3,4,0.802967,4139.936576,XSize12_YSize7_UDivisions3_VDivisions4_Perspective.png,XSize12_YSize7_UDivisions3_VDivisions4.json
6,8,3,4,0.342345,2954.595017,XSize6_YSize8_UDivisions3_VDivisions4_Perspective.png,XSize6_YSize8_UDivisions3_VDivisions4.json
7,8,3,4,0.392212,3161.227608,XSize7_YSize8_UDivisions3_VDivisions4_Perspective.png,XSize7_YSize8_UDivisions3_VDivisions4.json
8,8,3,4,0.455556,3375.012859,XSize8_YSize8_UDivisions3_VDivisions4_Perspective.png,XSize8_YSize8_UDivisions3_VDivisions4.json
9,8,3,4,0.534062,3594.802922,XSize9_YSize8_UDivisions3_VDivisions4_Perspective.png,XSize9_YSize8_UDivisions3_VDivisions4.json
10,8,3,4,0.629418,3819.626373,XSize10_YSize8_UDivisions3_VDivisions4_Perspective.png,XSize10_YSize8_UDivisions3_VDivisions4.json
11,8,3,4,0.743324,4048.673018,XSize11_YSize8_UDivisions3_VDivisions4_Perspective.png,XSize11_YSize8_UDivisions3_VDivisions4.json
12,8,3,4,0.877492,4281.272666,XSize12_YSize8_UDivisions3_VDivisions4_Perspective.png,XSize12_YSize8_UDivisions3_VDivisions4.json
6,9,3,4,0.431993,3117.096767,XSize6_YSize9_UDivisions3_VDivisions4_Perspective.png,XSize6_YSize9_UDivisions3_VDivisions4.json
7,9,3,4,0.483143,3320.572596,XSize7_YSize9_UDivisions3_VDivisions4_Perspective.png,XSize7_YSize9_UDivisions3_VDivisions4.json
8,9,3,4,0.547964,3531.274228,XSize8_YSize9_UDivisions3_VDivisions4_Perspective.png,XSize8_YSize9_UDivisions3_VDivisions4.json
9,9,3,4,0.628154,3748.116385,XSize9_YSize9_UDivisions3_VDivisions4_Perspective.png,XSize9_YSize9_UDivisions3_VDivisions4.json
10,9,3,4,0.725399,3970.162725,XSize10_YSize9_UDivisions3_VDivisions4_Perspective.png,XSize10_YSize9_UDivisions3_VDivisions4.json
11,9,3,4,0.841394,4196.618647,XSize11_YSize9_UDivisions3_VDivisions4_Perspective.png,XSize11_YSize9_UDivisions3_VDivisions4.json
12,9,3,4,0.977846,4426.816664,XSize12_YSize9_UDivisions3_VDivisions4_Perspective.png,XSize12_YSize9_UDivisions3_VDivisions4.json
6,10,3,4,0.54471,3283.795492,XSize6_YSize10_UDivisions3_VDivisions4_Perspective.png,XSize6_YSize10_UDivisions3_VDivisions4.json
7,10,3,4,0.594592,3484.149722,XSize7_YSize10_UDivisions3_VDivisions4_Perspective.png,XSize7_YSize10_UDivisions3_VDivisions4.json
8,10,3,4,0.660881,3691.764067,XSize8_YSize10_UDivisions3_VDivisions4_Perspective.png,XSize8_YSize10_UDivisions3_VDivisions4.json
9,10,3,4,0.742735,3905.620938,XSize9_YSize10_UDivisions3_VDivisions4_Perspective.png,XSize9_YSize10_UDivisions3_VDivisions4.json
10,10,3,4,0.841846,4124.82581,XSize10_YSize10_UDivisions3_VDivisions4_Perspective.png,XSize10_YSize10_UDivisions3_VDivisions4.json
11,10,3,4,0.959904,4348.606495,XSize11_YSize10_UDivisions3_VDivisions4_Perspective.png,XSize11_YSize10_UDivisions3_VDivisions4.json
12,10,3,4,1.09861,4576.304292,XSize12_YSize10_UDivisions3_VDivisions4_Perspective.png,XSize12_YSize10_UDivisions3_VDivisions4.json
6,11,3,4,0.680354,3454.178345,XSize6_YSize11_UDivisions3_VDivisions4_Perspective.png,XSize6_YSize11_UDivisions3_VDivisions4.json
7,11,3,4,0.728831,3651.488558,XSize7_YSize11_UDivisions3_VDivisions4_Perspective.png,XSize7_YSize11_UDivisions3_VDivisions4.json
