in:X Size,in:Y Size,in:U Divisions,in:V Divisions,out:displacement,out:Mass,img,threeD
10,7,2,3,0.85516,2569.015885,XSize10_YSize7_UDivisions2_VDivisions3_Perspective.png,XSize10_YSize7_UDivisions2_VDivisions3.json
11,7,2,3,1.048384,2745.114932,XSize11_YSize7_UDivisions2_VDivisions3_Perspective.png,XSize11_YSize7_UDivisions2_VDivisions3.json
12,7,2,3,1.275696,2923.090853,XSize12_YSize7_UDivisions2_VDivisions3_Perspective.png,XSize12_YSize7_UDivisions2_VDivisions3.json
6,8,2,3,0.46241,2003.632726,XSize6_YSize8_UDivisions2_VDivisions3_Perspective.png,XSize6_YSize8_UDivisions2_VDivisions3.json
7,8,2,3,0.546753,2163.379241,XSize7_YSize8_UDivisions2_VDivisions3_Perspective.png,XSize7_YSize8_UDivisions2_VDivisions3.json
8,8,2,3,0.656631,2328.015932,XSize8_YSize8_UDivisions2_VDivisions3_Perspective.png,XSize8_YSize8_UDivisions2_VDivisions3.json
9,8,2,3,0.792993,2496.564777,XSize9_YSize8_UDivisions2_VDivisions3_Perspective.png,XSize9_YSize8_UDivisions2_VDivisions3.json
10,8,2,3,0.958723,2668.257949,XSize10_YSize8_UDivisions2_VDivisions3_Perspective.png,XSize10_YSize8_UDivisions2_VDivisions3.json
11,8,2,3,1.156645,2842.495468,XSize11_YSize8_UDivisions2_VDivisions3_Perspective.png,XSize11_YSize8_UDivisions2_VDivisions3.json
12,8,2,3,1.389503,3018.80811,XSize12_YSize8_UDivisions2_VDivisions3_Perspective.png,XSize12_YSize8_UDivisions2_VDivisions3.json
6,9,2,3,0.583709,2115.850692,XSize6_YSize9_UDivisions2_VDivisions3_Perspective.png,XSize6_YSize9_UDivisions2_VDivisions3.json
7,9,2,3,0.662776,2272.772897,XSize7_YSize9_UDivisions2_VDivisions3_Perspective.png,XSize7_YSize9_UDivisions2_VDivisions3.json
8,9,2,3,0.775585,2434.782633,XSize8_YSize9_UDivisions2_VDivisions3_Perspective.png,XSize8_YSize9_UDivisions2_VDivisions3.json
9,9,2,3,0.915255,2600.926825,XSize9_YSize9_UDivisions2_VDivisions3_Perspective.png,XSize9_YSize9_UDivisions2_VDivisions3.json
10,9,2,3,1.084735,2770.438873,XSize10_YSize9_UDivisions2_VDivisions3_Perspective.png,XSize10_YSize9_UDivisions2_VDivisions3.json
11,9,2,3,1.286932,2942.707259,XSize11_YSize9_UDivisions2_VDivisions3_Perspective.png,XSize11_YSize9_UDivisions2_VDivisions3.json
12,9,2,3,1.524697,3117.245311,XSize12_YSize9_UDivisions2_VDivisions3_Perspective.png,XSize12_YSize9_UDivisions2_VDivisions3.json
6,10,2,3,0.73233,2230.842798,XSize6_YSize10_UDivisions2_VDivisions3_Perspective.png,XSize6_YSize10_UDivisions2_VDivisions3.json
7,10,2,3,0.812132,2384.985463,XSize7_YSize10_UDivisions2_VDivisions3_Perspective.png,XSize7_YSize10_UDivisions2_VDivisions3.json
8,10,2,3,0.920266,2544.367129,XSize8_YSize10_UDivisions2_VDivisions3_Perspective.png,XSize8_YSize10_UDivisions2_VDivisions3.json
9,10,2,3,1.063237,2708.071146,XSize9_YSize10_UDivisions2_VDivisions3_Perspective.png,XSize9_YSize10_UDivisions2_VDivisions3.json
10,10,2,3,1.236382,2875.342676,XSize10_YSize10_UDivisions2_VDivisions3_Perspective.png,XSize10_YSize10_UDivisions2_VDivisions3.json
11,10,2,3,1.442662,3045.567186,XSize11_YSize10_UDivisions2_VDivisions3_Perspective.png,XSize11_YSize10_UDivisions2_VDivisions3.json
12,10,2,3,1.685003,3218.246956,XSize12_YSize10_UDivisions2_VDivisions3_Perspective.png,XSize12_YSize10_UDivisions2_VDivisions3.json
6,11,2,3,0.911255,2348.253238,XSize6_YSize11_UDivisions2_VDivisions3_Perspective.png,XSize6_YSize11_UDivisions2_VDivisions3.json
7,11,2,3,0.994003,2499.697533,XSize7_YSize11_UDivisions2_VDivisions3_Perspective.png,XSize7_YSize11_UDivisions2_VDivisions3.json
8,11,2,3,1.096933,2656.487969,XSize8_YSize11_UDivisions2_VDivisions3_Perspective.png,XSize8_YSize11_UDivisions2_VDivisions3.json
9,11,2,3,1.239822,2817.752726,XSize9_YSize11_UDivisions2_VDivisions3_Perspective.png,XSize9_YSize11_UDivisions2_VDivisions3.json
10,11,2,3,1.416638,2982.757581,XSize10_YSize11_UDivisions2_VDivisions3_Perspective.png,XSize10_YSize11_UDivisions2_VDivisions3.json
11,11,2,3,1.626943,3150.892825,XSize11_YSize11_UDivisions2_VDivisions3_Perspective.png,XSize11_YSize11_UDivisions2_VDivisions3.json
12,11,2,3,1.873711,3321.65604,XSize12_YSize11_UDivisions2_VDivisions3_Perspective.png,XSize12_YSize11_UDivisions2_VDivisions3.json
6,12,2,3,1.123448,2467.769356,XSize6_YSize12_UDivisions2_VDivisions3_Perspective.png,XSize6_YSize12_UDivisions2_VDivisions3.json
7,12,2,3,1.209228,2616.620664,XSize7_YSize12_UDivisions2_VDivisions3_Perspective.png,XSize7_YSize12_UDivisions2_VDivisions3.json
8,12,2,3,1.315528,2770.88472,XSize8_YSize12_UDivisions2_VDivisions3_Perspective.png,XSize8_YSize12_UDivisions2_VDivisions3.json
9,12,2,3,1.447825,2929.739958,XSize9_YSize12_UDivisions2_VDivisions3_Perspective.png,XSize9_YSize12_UDivisions2_VDivisions3.json
10,12,2,3,1.628373,3092.479657,XSize10_YSize12_UDivisions2_VDivisions3_Perspective.png,XSize10_YSize12_UDivisions2_VDivisions3.json
11,12,2,3,1.84272,3258.505694,XSize11_YSize12_UDivisions2_VDivisions3_Perspective.png,XSize11_YSize12_UDivisions2_VDivisions3.json
12,12,2,3,2.093875,3427.316832,XSize12_YSize12_UDivisions2_VDivisions3_Perspective.png,XSize12_YSize12_UDivisions2_VDivisions3.json
6,6,3,3,0.228981,2215.946263,XSize6_YSize6_UDivisions3_VDivisions3_Perspective.png,XSize6_YSize6_UDivisions3_VDivisions3.json
7,6,3,3,0.284653,2375.044046,XSize7_YSize6_UDivisions3_VDivisions3_Perspective.png,XSize7_YSize6_UDivisions3_VDivisions3.json
8,6,3,3,0.356537,2539.506325,XSize8_YSize6_UDivisions3_VDivisions3_Perspective.png,XSize8_YSize6_UDivisions3_VDivisions3.json
9,6,3,3,0.44686,2708.472212,XSize9_YSize6_UDivisions3_VDivisions3_Perspective.png,XSize9_YSize6_UDivisions3_VDivisions3.json
10,6,3,3,0.557841,2881.213141,XSize10_YSize6_UDivisions3_VDivisions3_Perspective.png,XSize10_YSize6_UDivisions3_VDivisions3.json
11,6,3,3,0.691687,3057.121465,XSize11_YSize6_UDivisions3_VDivisions3_Perspective.png,XSize11_YSize6_UDivisions3_VDivisions3.json
12,6,3,3,0.8506,3235.694542,XSize12_YSize6_UDivisions3_VDivisions3_Perspective.png,XSize12_YSize6_UDivisions3_VDivisions3.json
6,7,3,3,0.284653,2375.044046,XSize6_YSize7_UDivisions3_VDivisions3_Perspective.png,XSize6_YSize7_UDivisions3_VDivisions3.json
7,7,3,3,0.341331,2530.989132,XSize7_YSize7_UDivisions3_VDivisions3_Perspective.png,XSize7_YSize7_UDivisions3_VDivisions3.json
8,7,3,3,0.414295,2692.36533,XSize8_YSize7_UDivisions3_VDivisions3_Perspective.png,XSize8_YSize7_UDivisions3_VDivisions3.json
9,7,3,3,0.505793,2858.37528,XSize9_YSize7_UDivisions3_VDivisions3_Perspective.png,XSize9_YSize7_UDivisions3_VDivisions3.json
10,7,3,3,0.618055,3028.326681,XSize10_YSize7_UDivisions3_VDivisions3_Perspective.png,XSize10_YSize7_UDivisions3_VDivisions3.json
11,7,3,3,0.753307,3201.628656,XSize11_YSize7_UDivisions3_VDivisions3_Perspective.png,XSize11_YSize7_UDivisions3_VDivisions3.json
12,7,3,3,0.913764,3377.782294,XSize12_YSize7_UDivisions3_VDivisions3_Perspective.png,XSize12_YSize7_UDivisions3_VDivisions3.json
6,8,3,3,0.356537,2539.506325,XSize6_YSize8_UDivisions3_VDivisions3_Perspective.png,XSize6_YSize8_UDivisions3_VDivisions3.json
7,8,3,3,0.414295,2692.36533,XSize7_YSize8_UDivisions3_VDivisions3_Perspective.png,XSize7_YSize8_UDivisions3_VDivisions3.json
8,8,3,3,0.488405,2850.671205,XSize8_YSize8_UDivisions3_VDivisions3_Perspective.png,XSize8_YSize8_UDivisions3_VDivisions3.json
9,8,3,3,0.581126,3013.69577,XSize9_YSize8_UDivisions3_VDivisions3_Perspective.png,XSize9_YSize8_UDivisions3_VDivisions3.json
10,8,3,3,0.694698,3180.79116,XSize10_YSize8_UDivisions3_VDivisions3_Perspective.png,XSize10_YSize8_UDivisions3_VDivisions3.json
11,8,3,3,0.831356,3351.391873,XSize11_YSize8_UDivisions3_VDivisions3_Perspective.png,XSize11_YSize8_UDivisions3_VDivisions3.json
12,8,3,3,0.99333,3525.010621,XSize12_YSize8_UDivisions3_VDivisions3_Perspective.png,XSize12_YSize8_UDivisions3_VDivisions3.json
6,9,3,3,0.44686,2708.472212,XSize6_YSize9_UDivisions3_VDivisions3_Perspective.png,XSize6_YSize9_UDivisions3_VDivisions3.json
7,9,3,3,0.505793,2858.37528,XSize7_YSize9_UDivisions3_VDivisions3_Perspective.png,XSize7_YSize9_UDivisions3_VDivisions3.json
8,9,3,3,0.581126,3013.69577,XSize8_YSize9_UDivisions3_VDivisions3_Perspective.png,XSize8_YSize9_UDivisions3_VDivisions3.json
9,9,3,3,0.67514,3173.776038,XSize9_YSize9_UDivisions3_VDivisions3_Perspective.png,XSize9_YSize9_UDivisions3_VDivisions3.json
10,9,3,3,0.790084,3338.017516,XSize10_YSize9_UDivisions3_VDivisions3_Perspective.png,XSize10_YSize9_UDivisions3_VDivisions3.json
11,9,3,3,0.928198,3505.886496,XSize11_YSize9_UDivisions3_VDivisions3_Perspective.png,XSize11_YSize9_UDivisions3_VDivisions3.json
12,9,3,3,1.091717,3676.913992,XSize12_YSize9_UDivisions3_VDivisions3_Perspective.png,XSize12_YSize9_UDivisions3_VDivisions3.json
6,10,3,3,0.557841,2881.213141,XSize6_YSize10_UDivisions3_VDivisions3_Perspective.png,XSize6_YSize10_UDivisions3_VDivisions3.json
7,10,3,3,0.618055,3028.326681,XSize7_YSize10_UDivisions3_VDivisions3_Perspective.png,XSize7_YSize10_UDivisions3_VDivisions3.json
8,10,3,3,0.694698,3180.79116,XSize8_YSize10_UDivisions3_VDivisions3_Perspective.png,XSize8_YSize10_UDivisions3_VDivisions3.json
9,10,3,3,0.790084,3338.017516,XSize9_YSize10_UDivisions3_VDivisions3_Perspective.png,XSize9_YSize10_UDivisions3_VDivisions3.json
10,10,3,3,0.906475,3499.458328,XSize10_YSize10_UDivisions3_VDivisions3_Perspective.png,XSize10_YSize10_UDivisions3_VDivisions3.json
11,10,3,3,1.046114,3664.615729,XSize11_YSize10_UDivisions3_VDivisions3_Perspective.png,XSize11_YSize10_UDivisions3_VDivisions3.json
12,10,3,3,1.211239,3833.044054,XSize12_YSize10_UDivisions3_VDivisions3_Perspective.png,XSize12_YSize10_UDivisions3_VDivisions3.json
6,11,3,3,0.691687,3057.121465,XSize6_YSize11_UDivisions3_VDivisions3_Perspective.png,XSize6_YSize11_UDivisions3_VDivisions3.json
7,11,3,3,0.753307,3201.628656,XSize7_YSize11_UDivisions3_VDivisions3_Perspective.png,XSize7_YSize11_UDivisions3_VDivisions3.json
8,11,3,3,0.831356,3351.391873,XSize8_YSize11_UDivisions3_VDivisions3_Perspective.png,XSize8_YSize11_UDivisions3_VDivisions3.json
9,11,3,3,0.928198,3505.886496,XSize9_YSize11_UDivisions3_VDivisions3_Perspective.png,XSize9_YSize11_UDivisions3_VDivisions3.json
10,11,3,3,1.046114,3664.615729,XSize10_YSize11_UDivisions3_VDivisions3_Perspective.png,XSize10_YSize11_UDivisions3_VDivisions3.json
11,11,3,3,1.187354,3827.119455,XSize11_YSize11_UDivisions3_VDivisions3_Perspective.png,XSize11_YSize11_UDivisions3_VDivisions3.json
